Row Type,Data,File Path
First Row,"['Date:', '20250415131347']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000694\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000694']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000694\laser_wb_log_2D.csv
Last Row,"['1000', '1942', '1639', '1626', '21597', '22987', '27103']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000694\laser_wb_log_2D.csv
First Row,"['Date:', '20250415170511']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000695\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000695']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000695\laser_wb_log_2D.csv
Last Row,"['1000', '1801', '1718', '1639', '21566', '23004', '27100']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000695\laser_wb_log_2D.csv
First Row,"['Date:', '20250415182016']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000696\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000696']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000696\laser_wb_log_2D.csv
Last Row,"['1000', '1816', '1743', '1683', '21564', '23010', '27100']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-15\5000696\laser_wb_log_2D.csv
First Row,"['Date:', '20250416141737']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000699\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000699']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000699\laser_wb_log_2D.csv
Last Row,"['1000', '1950', '1583', '1650', '21255', '22618', '26652']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000699\laser_wb_log_2D.csv
First Row,"['Date:', '20250416110604']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000701\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000701']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000701\laser_wb_log_2D.csv
Last Row,"['1000', '1822', '1567', '1604', '21584', '22992', '27104']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000701\laser_wb_log_2D.csv
First Row,"['Date:', '20250416153959']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000703\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000703']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000703\laser_wb_log_2D.csv
Last Row,"['1000', '1872', '1496', '1700', '21449', '22855', '26938']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000703\laser_wb_log_2D.csv
First Row,"['Date:', '20250416165640']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000704\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000704']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000704\laser_wb_log_2D.csv
Last Row,"['1000', '1874', '1782', '1691', '21572', '23012', '27101']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-16\5000704\laser_wb_log_2D.csv
First Row,"['Date:', '20250417131329']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000697\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000697']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000697\laser_wb_log_2D.csv
Last Row,"['1000', '1804', '1743', '1633', '21575', '23007', '27105']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000697\laser_wb_log_2D.csv
First Row,"['Date:', '20250417103707']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000700\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000700']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000700\laser_wb_log_2D.csv
Last Row,"['1000', '1872', '1662', '1629', '21577', '22999', '27098']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000700\laser_wb_log_2D.csv
First Row,"['Date:', '20250417115231']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000702\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000702']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000702\laser_wb_log_2D.csv
Last Row,"['1000', '1894', '1607', '1656', '21598', '22991', '27100']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-17\5000702\laser_wb_log_2D.csv
First Row,"['Date:', '20250418084020']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000698\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000698']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000698\laser_wb_log_2D.csv
Last Row,"['1000', '1705', '1615', '1667', '21564', '23002', '27105']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000698\laser_wb_log_2D.csv
First Row,"['Date:', '20250418121506']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000705\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000705']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000705\laser_wb_log_2D.csv
Last Row,"['1000', '1685', '1591', '1653', '21573', '22985', '27104']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000705\laser_wb_log_2D.csv
First Row,"['Date:', '20250418133009']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000706\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000706']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000706\laser_wb_log_2D.csv
Last Row,"['1000', '1933', '1655', '1700', '21502', '22904', '26992']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000706\laser_wb_log_2D.csv
First Row,"['Date:', '20250421073601']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000699\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000699']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000699\laser_wb_log_2D.csv
Last Row,"['1000', '1950', '1539', '1655', '21298', '22655', '26719']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000699\laser_wb_log_2D.csv
First Row,"['Date:', '20250421085751']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000707\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000707']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000707\laser_wb_log_2D.csv
Last Row,"['1000', '1754', '1549', '1603', '21570', '22992', '27102']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000707\laser_wb_log_2D.csv
First Row,"['Date:', '20250421104428']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000708\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000708']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000708\laser_wb_log_2D.csv
Last Row,"['1000', '1702', '1552', '1621', '21561', '22995', '27104']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000708\laser_wb_log_2D.csv
First Row,"['Date:', '20250421135852']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5300015\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5300015']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5300015\laser_wb_log_2D.csv
Last Row,"['1000', '1878', '1603', '1689', '21581', '22999', '27101']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5300015\laser_wb_log_2D.csv
